"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Stephens__Courtney",3,"","","","","","","","","","","","","","","","","","","","","","","","","","professional.development"
"Tancredi__Sofia",3,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Tollefsen__Deborah",3,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Wang__Yeyu",3,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Wen__Huijing",3,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Williamson__David",3,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Wong__Joseph",3,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Woolley__Anita_Williams",3,"","","","","","","","","","","","","","","","","","","","","","","","","","computer.science"
"Wu__Liang_Li",3,"","","","","","","","","","","","","","","","","","","","","","","","","","social.network"
"Yeung__Natalie_Au",3,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Zabolotna__Kateryna",3,"","","","","","","","","","","","","","","","","","","","","","","","","","knowledge.construction"
"Zambrano.Gutiérrez__Julio",3,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zenke__Carter",3,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Brazile__Robert",2,"problem.solving","","","","","","","","","","","","","","","","","","","","","","","","",""
"Christiansen__Ellen",2,"computer.supported","","","","","","","","","collaborative.learning","","","","","","","","","","","","","","","",""
"Chyung__Seung.Youn",2,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cockburn__Andy",2,"learning.environment","","","computer.supported","","","","","","","","","","","","","","","","","","","","","",""
"Cole__Karen_A.",2,"case.study","","community.practice","","","","","","","","","","","","","","","","","","","","","","",""
"Conlee__Melinda",2,"problem.based.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ferraro__Anne",2,"collaborative.design","","","","","","","","","","","","","","","","","","","","","","","","",""
"Geisler__Cheryl",2,"collaborative.design","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glenn__Phillip_J.",2,"problem.based.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Goodrum__David_A.",2,"case.study","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gutwin__Carl",2,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lan__William",2,"learning.environment","","","","","","","","","","","","","","","","","","","","","","","","",""
"León__Rigoberto",2,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mahling__Dirk_E.",2,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marquez__Jorge",2,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rathbun__Gail_A.",2,"case.study","","","","","","","","","","","","","","","","","","","","","","","","",""
"Repman__Judi",2,"learning.environment","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rogers__Edwin",2,"collaborative.design","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saito__Ron_S.",2,"case.study","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salinas__Bertha",2,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shin__Dongil",2,"problem.solving","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shotsberger__Paul_G.",2,"mathematics.education","","","","","","","","","","","","","","","","","","","","","","","","",""
"Skogseid__Ingjerd",2,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Smith__Karan_B.",2,"mathematics.education","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sorrows__Bryan_B.",2,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spell__Christopher_G.",2,"mathematics.education","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stark__Gwen",2,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swigger__Kathleen_M.",2,"problem.solving","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zhao__Yong",2,"teacher.education","","","","","","","","","","","","","","educational.research","","","","","","","","","","",""
"X__College_of_Computing",2,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bakardjieva__Maria",2,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Baker__Michelle",2,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Bracewell__Robert",2,"","high.school","","","","","","","","","","","","","","","","","","","","","","","",""
"Cohen__Judith_Levy",2,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Collison__George",2,"","student.learning","","","","","","","","","","","","","","","","","","","","","","","",""
"De_Vries__Erica",2,"","problem.solving","","","","","","","","","","","","","","","","","","","","","","","",""
"Institute_of_Technology__Georgia",2,"","virtual.reality","","","","","","","","","","","","","","","","","","","","","","","",""
"Issroff__Kim",2,"","collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","",""
"Kaptelinin__Victor",2,"","collaborative.learning","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Moeller__Babette",2,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Teles__Lucio",2,"","collaborative.learning","collaborative.work","","","","","","","","","","","","","","","","","","","","","","",""
"The_Cognition_and_Technology_Group",2,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Toth__Eva_Erdosne",2,"","learning.activity","","","","","","","","","","","","","","","","","","","","","","","",""
"Ward__Douglas_R.",2,"","teacher.student","teacher.student","","","","","","","","","","","","","","","","","","","","","","",""
"Allen__Robert_B.",2,"","","professional.development","","","","","","","","","","","","","","","","","","","","","","",""
"Andriessen__J.E.B.",2,"","","theoretical.framework","","","","","","","","","","","","","","","","","","","","","","",""
"Barak__Miri",2,"","","learning.environment","","","","","","","","","","","","","high.school","","","","","","","","","",""
"Barrows__Howard_S.",2,"","","problem.based.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Borovoy__Richard_D",2,"","","learning.environment","","","","","","","","","","","","","","","","","","","","","","",""
"Cameron__Terri",2,"","","problem.based.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Crooks__Steven_M.",2,"","","problem.based.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Fairweather__Peter_G.",2,"","","problem.solving","","","","","","","","","","","","","","","","","","","","","","",""
"Fleschutz__Maria",2,"","","learning.environment","","","","","","","","","","","","","","","","","","","","","","",""
"Fulton__Kathleen",2,"","","professional.development","","","","","","","","","","","","","","","","","","","","","","",""
"Garland__Iris",2,"","","collaborative.work","","","","","","","","","","","","","","","","","","","","","","",""
"Henze__Nicola",2,"","","computer.supported","","","","","","","","","","","","","","","","","","","","","","",""
"Jump__Otak",2,"","","community.practice","","","","","","","","","","","","","","","","","","","","","","",""
"Kanselaar__G.",2,"","","theoretical.framework","","","","","","","","","","","","","","","","","","","","","","",""
"Kvan__Thomas",2,"","","design.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Nason__Rod",2,"","","preservice.teacher","","","","","","","","","","","","","","","","","","","","","","",""
"Nurmela__Kari_A",2,"","","learning.environment","","","","","","","","","","","","","","","","","","","","","","",""
"Pannoni__Robert_L.",2,"","","collaborative.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Penuel__William.Korbak__Christine",2,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phillips__Jonathan",2,"","","learning.activity","","","","","","","","","","","","","","","","","","","","","","",""
"Reimer__Todd_C.",2,"","","learning.environment","","","","","","","","","","","","","","","high.school","","","","","","","",""
"Resnick__Mitchel_L.",2,"","","learning.environment","","","","","","","","","","","","","","","","","","","","","","",""
"Satterwhite__Robert_C.",2,"","","pilot.study","","","","","","","","","","","","","","","","","","","","","","",""
"Sipusic__Michael_J.",2,"","","collaborative.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Swerling__Steven",2,"","","problem.solving","","","","","","","","","","","","","","","","","","","","","","",""
"Tanikawa__Yukiko",2,"","","collaborative.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Veerman__Arja_L.",2,"","","theoretical.framework","","","","","","","","","","","","","","","","","","","","","","",""
"Vera__Alonso",2,"","","design.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Wang__Xinchun",2,"","","collaborative.work","","","","","","","","","","","","","","","","","","","","","","",""
"Wolpers__Martin",2,"","","computer.supported","","","","","","","","","","","","","","","","","","","","","","",""
"Yip__Wan_Hung",2,"","","design.learning","","","","","","","","","","","","","","","","","","","","","","",""
"Andersen__Hans_H._K.",2,"","","","collaborative.learning","","","","","","","","","","","","","","","","","","","","","",""
"Andersen__Verner",2,"","","","collaborative.learning","","","","","","","","","","","","","","","","","","","","","",""
